x,y,u,v,p
3.2,-0.7,-6.6721586e-05,-3.30407e-05,-4.997261e-05
3.3,-0.6,-0.000115115115,-2.7405309e-05,-4.9532373e-05
3.4,-0.5,-0.00015851726,-2.0288966e-05,-4.869875e-05
3.5,-0.4,-0.00019579762,-1.23650225e-05,-4.7495825e-05
3.6,-0.3,-0.00022577253,-4.5418765e-06,-4.598241e-05
3.7,-0.2,-0.00024771737,2.1752185e-06,-4.4252512e-05
3.8,-0.1,-0.00026176037,6.915145e-06,-4.242308e-05
3.9,2.222108e-11,-0.00026896223,9.174907e-06,-4.061011e-05
4.0,0.1,-0.00027099616,8.9276755e-06,-3.8909948e-05
4.1,0.2,-0.00026964457,6.5709864e-06,-3.736116e-05
4.2,0.3,-0.0002663258,2.7568199e-06,-3.5949262e-05
4.3,0.4,-0.0002618833,-1.8116085e-06,-3.461906e-05
4.4,0.5,-0.000256597,-6.497646e-06,-3.3276614e-05
4.5,0.6,-0.00025035374,-1.0735479e-05,-3.1805215e-05
4.6,0.7,-0.00024281899,-1.39669855e-05,-3.007948e-05
4.7,0.8,-0.0002335856,-1.5535072e-05,-2.7975686e-05
4.8,0.9,-0.00022225945,-1.4609335e-05,-2.5390742e-05
4.9,1.0,-0.00020830192,-1.0543225e-05,-2.213904e-05
5.0,1.0,-0.00020682483,-6.371405e-06,-2.1434531e-05
3.0,-0.8,-1.4417416e-05,-3.9856157e-05,-4.944542e-05
3.0,-0.9,4.34846e-05,-3.8497317e-05,-4.969816e-05
3.1,-0.7,-6.5589855e-05,-3.6471203e-05,-4.9551538e-05
3.2,-0.6,-0.00011267051,-3.124405e-05,-4.9301394e-05
3.3,-0.5,-0.00015523154,-2.4514187e-05,-4.8692185e-05
3.4,-0.4,-0.00019230122,-1.685374e-05,-4.7739977e-05
3.5,-0.3,-0.00022276805,-9.057586e-06,-4.6488007e-05
3.6,-0.2,-0.00024583505,-2.0423288e-06,-4.5008674e-05
3.7,-0.1,-0.0002613987,3.3361282e-06,-4.3396005e-05
3.8,2.4956585e-11,-0.00027019315,6.4904484e-06,-4.174874e-05
3.9,0.1,-0.0002736018,7.2382268e-06,-4.0154056e-05
4.0,0.2,-0.00027324283,5.78511e-06,-3.8668917e-05
4.1,0.3,-0.0002705292,2.6210434e-06,-3.7284586e-05
4.2,0.4,-0.00026639525,-1.6457086e-06,-3.5969857e-05
4.3,0.5,-0.00026124477,-6.431006e-06,-3.4645793e-05
4.4,0.6,-0.0002550479,-1.1205825e-05,-3.3205764e-05
4.5,0.7,-0.00024749254,-1.5462098e-05,-3.1520118e-05
4.6,0.8,-0.00023811581,-1.8626344e-05,-2.9450324e-05
4.7,0.9,-0.0002263821,-1.9957663e-05,-2.6856056e-05
4.8,1.0,-0.00021177852,-1.8442082e-05,-2.3619794e-05
4.9,1.1,-0.00019354407,-1.3181535e-05,-1.9516425e-05
5.0,1.1,-0.00019186464,-8.056563e-06,-1.8471266e-05
2.9,-0.9,4.124747e-05,-4.1246163e-05,-4.899509e-05
2.9,-0.8,-1.5051139e-05,-4.2751806e-05,-4.8750902e-05
3.0,-0.7,-6.460954e-05,-3.9683422e-05,-4.8990678e-05
3.1,-0.6,-0.0001103432,-3.4811175e-05,-4.890439e-05
3.2,-0.5,-0.00015197224,-2.843033e-05,-4.8491896e-05
3.3,-0.4,-0.00018867338,-2.1033431e-05,-4.7765534e-05
3.4,-0.3,-0.00021942076,-1.3315657e-05,-4.675783e-05
3.5,-0.2,-0.00024338612,-6.105511e-06,-4.55245e-05
3.6,-0.1,-0.0002602953,-2.2269413e-07,-4.4140397e-05
3.7,2.7366609e-11,-0.00027060826,3.7001032e-06,-4.2687956e-05
3.8,0.1,-0.00027543388,5.365764e-06,-4.12391e-05
3.9,0.2,-0.00027619762,4.8221664e-06,-3.986126e-05
4.0,0.3,-0.0002742611,2.4042145e-06,-3.8557555e-05
4.1,0.4,-0.00027060971,-1.3884226e-06,-3.7304897e-05
4.2,0.5,-0.00026574903,-6.0365505e-06,-3.6045607e-05
4.3,0.6,-0.0002597398,-1.1057198e-05,-3.468527e-05
4.4,0.7,-0.00025231717,-1.5991853e-05,-3.310195e-05
4.5,0.8,-0.00024300633,-2.0353904e-05,-3.1147454e-05
4.6,0.9,-0.0002312018,-2.3529627e-05,-2.866497e-05
4.7,1.0,-0.00021620691,-2.4682964e-05,-2.5491721e-05
4.8,1.1,-0.00019732148,-2.2576989e-05,-2.1483675e-05
4.9,1.2,-0.00017343587,-1.60555e-05,-1.6399754e-05
5.0,1.2,-0.00017165723,-9.979216e-06,-1.4837612e-05
2.8,-0.9,3.887051e-05,-4.3879678e-05,-4.8195347e-05
2.8,-0.8,-1.5820262e-05,-4.5515575e-05,-4.7959213e-05
2.9,-0.7,-6.376345e-05,-4.271181e-05,-4.831186e-05
3.0,-0.6,-0.000108120286,-3.8143524e-05,-4.8365462e-05
3.1,-0.5,-0.0001487435,-3.2069245e-05,-4.812326e-05
3.2,-0.4,-0.00018494338,-2.491976e-05,-4.7597096e-05
3.3,-0.3,-0.00021578494,-1.7306162e-05,-4.6812682e-05
3.4,-0.2,-0.00024043859,-9.973402e-06,-4.581352e-05
3.5,-0.1,-0.000258508,-3.6928598e-06,-4.465883e-05
3.6,2.9190705e-11,-0.00027023023,8.8739927e-07,-4.341639e-05
3.7,0.1,-0.00027645726,3.385877e-06,-4.2146825e-05
3.8,0.2,-0.0002784187,3.7342054e-06,-4.090827e-05
3.9,0.3,-0.0002773872,2.1242693e-06,-3.9725863e-05
4.0,0.4,-0.00027435352,-1.05865e-06,-3.8577185e-05
4.1,0.5,-0.00026990537,-5.362866e-06,-3.7422436e-05
4.2,0.6,-0.00026418464,-1.0357083e-05,-3.618316e-05
4.3,0.7,-0.00025698548,-1.5628264e-05,-3.4748344e-05
4.4,0.8,-0.00024785043,-2.0764419e-05,-3.2977627e-05
4.5,0.9,-0.00023614126,-2.5263207e-05,-3.0703737e-05
4.6,1.0,-0.0002210821,-2.847048e-05,-2.7743701e-05
4.7,1.1,-0.00020177299,-2.9437011e-05,-2.390367e-05
4.8,1.2,-0.00017720173,-2.673671e-05,-1.901655e-05
4.9,1.3,-0.00014576426,-1.8860213e-05,-1.2846433e-05
5.0,1.3,-0.00014404749,-1.1959206e-05,-1.0555085e-05
2.7,-0.9,3.6361667e-05,-4.643195e-05,-4.7315047e-05
2.7,-0.8,-1.6715461e-05,-4.818168e-05,-4.7086953e-05
2.8,-0.7,-6.303404e-05,-4.5591212e-05,-4.75341e-05
2.9,-0.6,-0.000105989035,-4.1277675e-05,-4.7705802e-05
3.0,-0.5,-0.00014554564,-3.5465935e-05,-4.7609254e-05
3.1,-0.4,-0.00018113173,-2.853783e-05,-4.7257992e-05
3.2,-0.3,-0.00021190454,-2.1035015e-05,-4.667387e-05
3.3,-0.2,-0.00023705269,-1.36266035e-05,-4.5891993e-05
3.4,-0.1,-0.00025609677,-7.029805e-06,-4.495962e-05
3.5,3.0507014e-11,-0.0002690944,-1.8858085e-06,-4.3931443e-05
3.6,0.1,-0.00027667193,1.3629909e-06,-4.285926e-05
3.7,0.2,-0.00027985472,2.5621985e-06,-4.1784824e-05
3.8,0.3,-0.000279803,1.7931432e-06,-4.0756382e-05
3.9,0.4,-0.00027749277,-6.7708714e-07,-3.97445e-05
4.0,0.5,-0.00027354254,-4.465842e-06,-3.8728413e-05
4.1,0.6,-0.0002681802,-9.192953e-06,-3.764261e-05
4.2,0.7,-0.00026125298,-1.4492548e-05,-3.6391117e-05
4.3,0.8,-0.00025232474,-2.0000762e-05,-3.485013e-05
4.4,0.9,-0.00024075723,-2.530733e-05,-3.2855532e-05
4.5,1.0,-0.0002257253,-2.9893858e-05,-3.0218423e-05
4.6,1.1,-0.00020625518,-3.3037373e-05,-2.6720552e-05
4.7,1.2,-0.00018117577,-3.371895e-05,-2.2144182e-05
4.8,1.3,-0.0001490533,-3.038659e-05,-1.6306816e-05
4.9,1.4,-0.00010754144,-2.151455e-05,-9.1256625e-06
